#                                                                     
# :   :::   :::     ::::    ::::  :::::::::   ::::::::                
# :+:   :+: :+: :+:   +:+:+: :+:+:+ :+:    :+: :+:    :+              
#  +:+ +:+ +:+   +:+  +:+ +:+:+ +:+ +:+    +:+ +:+    +:+             
#   +#++: +#++:++#++: +#+  +:+  +#+ +#++:++#+  +#+    +:+             
#    +#+  +#+     +#+ +#+       +#+ +#+    +#+ +#+    +#+             
#    #+#  #+#     #+# #+#       #+# #+#    #+# #+#    #+#             
#    ###  ###     ### ###       ### #########   ########              
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   1  20
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : yes
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
     1.78255582       -0.422710107E-1     -4.46188673   
     1.97011723       -0.665240583E-1     -13.9451055   
     2.31859468        0.937999684E-2     -65.4153967   
     2.32769814       -0.380043347E-1     -79.9718047   
     2.36979763       -0.303239123E-2     -88.1459321   
     2.38304997       -0.979966989E-2     -60.4714656   
     2.40284354        0.128861118        -78.0489811   
     2.58744149        0.812766812E-1     -79.5533861   
     2.67217166        0.655687446E-1     -100.402856   
     2.75027545       -0.260631158E-1     -96.1863900   
     2.75243383       -0.707191669E-1     -89.7863633   
     2.88201143       -0.109382611E-1     -128.176425   
     2.88201163       -0.109382611E-1     -128.176425   
     2.89592389        0.209432870        -35.0604239   
     2.93790032        0.132274459        -50.0878711   
     3.06948486        0.176828328E-1     -57.7248436   
     3.16146442        0.408566922E-1     -49.1702196   
     3.16146442        0.408566922E-1     -49.1702196   
     3.41463431       -0.778104251E-1     -56.1689742   
     3.49739587        0.864850874E-1     -64.8104757   
     3.50050145       -0.856798017E-1     -65.5513216   
     3.70434983        0.357249220E-1     -22.4198988   
     3.94831003        0.892289787E-1     -60.3735736   
     4.25272262       -0.103394870        -18.2519685   
     4.34108549        0.229011733E-1     -46.9679276   
     4.46996039       -0.833280107E-1     -71.0286758   
     4.58866867        0.110755165        -62.7182877   
     5.10457620        0.334477396E-1     -8.11904056   
     5.63183314       -0.579432650E-3    -0.162575704   
     5.81633602        0.121847104E-2    -0.502035285   
     6.16947041        0.105958728        -3.51014907   
     6.25331825       -0.196536743E-2     -1.01653575   
     6.35235501        0.439541632E-3     -1.05375221   
     6.41085946        0.156385993E-1     -9.20848541   
     7.06500405        0.664170113E-1     -20.1960608   
     7.22186608       -0.324384968E-5     -4.72024914   
     7.28944601        0.407670809E-2     -9.46812169   
     7.34040689        0.513987982E-2     -5.43121411   
     7.38048303        0.134141294E-1     -5.66262984   
     7.56263979        0.879732034E-2     -4.63222725   
     7.59491771        0.156475199E-1     -9.66287700   
     7.83064178       -0.554941584E-2     -6.34113256   
     7.91794837       -0.293998206E-1     -13.2397234   
     7.93510185        0.909575451E-2     -17.2691771   
     8.30746417       -0.530945206E-1     -40.8493112   
     8.70723539        0.236046832E-1     -13.3802448   
     8.71403450        0.176278901E-1     -20.7527232   
     9.01932536        0.401539933E-1     -31.1031712   
     9.61515323        0.125764052E-1    -0.531006403   
# 
# 02/27/2026 at 14:38 yambo_nl @ ln02 [start]
# 02/27/2026 at 14:38                 [end]
#  
# Timing   [Min/Max/Average]: 47s/47s/47s
#
# .-Input file  yambo.in
# | infver                           # [R] Input file variables verbosity
# | optics                           # [R] Linear Response optical properties
# | dipoles                          # [R] Oscillator strenghts (or dipoles)
# | chi                              # [R][CHI] Dyson equation for Chi.
# | #DegFix                        # Force the code to impose the energy levels to respect their degeneracy
# | FFTGvecs= 18393            RL    # [FFT] Plane-waves
# | DIP_Threads= 256                 # [OPENMP/X] Number of threads for dipoles
# | X_Threads= 256                   # [OPENMP/X] Number of threads for response functions
# | Chimod= "IP"                     # [X] IP/Hartree/ALDA/LRC/PF/BSfxc
# | % DipBands
# |   1 | 20 |                           # [DIP] Bands range for dipoles
# | %
# | DipComputed= "R V P [G-space]"   # [DIP] [default R P V; extra P2 Spin Orb]
# | % QpntsRXd
# |  1 | 1 |                             # [Xd] Transferred momenta
# | %
# | % BndsRnXd
# |   1 | 20 |                           # [Xd] Polarization function bands
# | %
# | % EnRngeXd
# |  1.000000 | 4.000000 |         eV    # [Xd] Energy range
# | %
# | % DmRngeXd
# |  0.200000 | 0.200000 |         eV    # [Xd] Damping range
# | %
# | ETStpsXd= 12                     # [Xd] Total Energy steps
# | % LongDrXd
# |  1.000000 | 1.000000 | 0.000000 |        # [Xd] [cc] Electric Field
# | %
# | XfnQPdb= "E W < SAVE/ndb.QP"     # [EXTQP Xd] Database action
# | % Field1_Freq
# |  0.100000 | 0.100000 |         eV    # [RT Field1] Frequency
# | %
# | Field1_NFreqs= 1                 # [RT Field1] Frequency
# | Field1_Int=  1000.00       kWLm2 # [RT Field1] Intensity
# | Field1_Width= 0.000000     fs    # [RT Field1] Width
# | Field1_FWHM= 0.000000      fs    # [RT Field1] Full Width at Half Maximum (overwrite width if set)
# | Field1_kind= "SOFTSIN"           # [RT Field1] Kind(SIN|SOFTSIN| see more on src/modules/mod_fields.F)
# | Field1_pol= "linear"             # [RT Field1] Pol(linear|circular)
# | % Field1_Dir
# |  0.000000 | 0.000000 | 0.000000 |        # [RT Field1] Versor
# | %
# | Field1_Tstart= 0.010000    fs    # [RT Field1] Initial Time
