#                                                                     
#   __   __     _        __  __       ____      U  ___  u             
#   \ \ / / U  /"\  U u |" \/ "| u U | __") u    \/"_ \/              
#    \ V /   \/ _ \/   \| |\/| |/   \|  _ \/     | | | |              
#   U_|"|_u  / ___ \    | |  | |     | |_) | .-,_| |_| |              
#     |_|   /_/   \_\   |_|  |_|     |____/   \_)-\___/               
# .-,//|(_   \\    >>  <<,-,,-.     _|| \\_        \\                 
#  \_) (__) (__)  (__)  (./  \.)   (__) (__)      (__)                
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  160
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   28   38
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    0.287067711        0.557051718   
    0.287780970        0.558349669   
    0.291609108        0.552563846   
    0.292203963        0.210850641   
    0.297310174        0.595596790   
    0.300040692        0.227780700   
    0.301204413        0.226094708   
    0.302920014        0.228622064   
    0.304513961        0.203824863   
    0.307403415        0.543471336   
    0.308273166        0.526928902   
    0.309779137        0.204520270   
    0.310051620        0.539553165   
    0.310322493        0.538761675   
    0.311573803        0.593174815   
    0.311617583        0.535268843   
    0.317063600        0.591590583   
    0.317197829        0.541536808   
    0.328228921        0.527808428   
    0.330418527        0.526199460   
    0.332202256        0.527020574   
    0.337329566        0.523993671   
    0.341065258        0.588917255   
    0.349736065        0.184194297   
    0.352982759        0.182426006   
    0.354326099        0.182303146   
    0.357900828        0.182823777   
    0.358386606        0.185406685   
    0.364678860        0.579033256   
    0.366772354        0.182158381   
    0.369863749        0.561623931   
    0.409797162        0.547328293   
    0.428740829        0.521561146   
    0.457418889        0.513728082   
    0.460059792        0.549173236   
    0.469408154        0.506961405   
    0.490846366        0.531049013   
    0.501850307        0.188088953   
    0.501850307        0.187725633   
    0.506425381        0.189066559   
    0.506425381        0.188999251   
    0.515497983        0.183664337   
    0.515497983        0.184150100   
    0.520835340        0.186988071   
    0.520835340        0.187095121   
    0.532402515        0.499915361   
    0.544840217        0.492322326   
    0.577955902        0.593077123   
    0.579264402        0.572185516   
    0.579334557        0.579577804   
    0.594343007        0.572524905   
    0.600777209        0.566796243   
    0.611275911        0.552831471   
    0.613101363        0.549554348   
    0.622733176        0.548849642   
    0.626201272        0.543986678   
    0.648416758        0.529660225   
    0.729026437        0.505225956   
    0.733273447        0.506825984   
    0.735062838        0.522752881   
    0.737001419        0.519920588   
    0.742316902        0.499367148   
    0.745743632        0.514780700   
    0.746991694        0.518735766   
    0.747775912        0.506974399   
    0.748102307        0.500911236   
    0.755311787        0.503830671   
    0.788844645        0.479895532   
    0.789451241        0.481915653   
    0.793013811        0.480573505   
    0.801009476        0.478170216   
    0.808008492        0.475123823   
    0.812529624        0.477093667   
    0.918644845        0.467006087   
    0.918644845        0.466707677   
    0.929843426        0.467621624   
    0.929843426        0.467989802   
    0.932879269        0.463769943   
    0.932879269        0.463864028   
    0.955016553        0.461428285   
    0.955016553        0.461533725   
     2.46504855       -0.499301478E-1
     2.50325370       -0.424676687E-1
     2.61252928       -0.262082778E-1
     2.72798347       -0.235868432E-1
     2.83515549        0.561425239E-1
     2.95903158        0.665483847E-1
     3.06185102       -0.250676591E-1
     3.08485985       -0.251665972E-1
     3.08885789        0.982140377E-1
     3.09101248       -0.164775401E-1
     3.14049816        0.112815417   
     3.15042210       -0.198588483E-1
     3.16854858       -0.312788202E-2
     3.22400713       -0.169154592E-1
