#                                                                     
#  __  __   ________   ___ __ __    _______   ______                  
# /_/\/_/\ /_______/\ /__//_//_/\ /_______/\ /_____/\                 
# \ \ \ \ \\::: _  \ \\::\| \| \ \\::: _  \ \\:::_ \ \                
#  \:\_\ \ \\::(_)  \ \\:.      \ \\::(_)  \/_\:\ \ \ \               
#   \::::_\/ \:: __  \ \\:.\-/\  \ \\::  _  \ \\:\ \ \ \              
#     \::\ \  \:.\ \  \ \\. \  \  \ \\::(_)  \ \\:\_\ \ \             
#      \__\/   \__\/\__\/ \__\/ \__\/ \_______\/ \_____\/             
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  120
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   30   36
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    0.740350723        0.779589117   
    0.741267502        0.766757667   
    0.742177427        0.778469622   
    0.748610377        0.777916133   
    0.748650908        0.765837669   
    0.751906514        0.768002510   
    0.758780241        0.765089512   
    0.792512238        0.745980024   
    0.793777347        0.745553434   
    0.796719491        0.744696259   
    0.803633749        0.743248701   
    0.809068441        0.741896391   
    0.814832330        0.741443515   
    0.920871377        0.721529484   
    0.920871377        0.721411884   
    0.932494462        0.719286799   
    0.932494462        0.719286799   
    0.933066189        0.719728768   
    0.933066189        0.720255077   
    0.952590525        0.715028822   
    0.952590525        0.714998841   
     2.39175963        0.306627721   
     2.42654514        0.315584809   
     2.52047825        0.337223738   
     2.59508419        0.354162693   
     2.84250975        0.419821858   
     2.92428136        0.444878191   
     2.99103594        0.361924827   
     3.01189470        0.362837166   
     3.01499724        0.372291356   
     3.03597450        0.481819123   
     3.06580734        0.373287231   
     3.07460141        0.390676290   
     3.08247662        0.497615457   
     3.10997963        0.391201377   
     3.20781589        0.376446337   
     3.22183990        0.381648660   
     3.25856090        0.354189068   
     3.26063704        0.392781943   
     3.30024934        0.408609897   
     3.33615637        0.448897719   
     3.33929801        0.367883772   
     3.35203171        0.422073096   
     3.35232449        0.441394687   
     3.38749337        0.438233137   
     3.40392923        0.483327121   
     3.41767836        0.464983553   
     3.46379447        0.500194728   
     3.46711540        0.490042299   
     3.55501151        0.406884581   
     3.57971430        0.442470431   
     3.58019686        0.442466378   
     3.63473082        0.502200246   
     3.68617344        0.530316293   
     3.70970178        0.523001432   
     3.77386117        0.449766666   
     3.78032684        0.563126206   
     3.79072762        0.553307891   
     3.81018662        0.497171462   
     3.81045508        0.496626496   
     3.82014918        0.570746064   
     3.94973302        0.485663921   
     4.01475525        0.557700098   
     4.02427006        0.559123337   
     4.04555607        0.560995042   
     4.05658674        0.561750054   
     4.13678932        0.522252083   
     4.15511560        0.532189608   
     4.16060162        0.531415164   
     4.17143631        0.531615496   
     4.19434929        0.545300901   
     4.20274973        0.547733366   
     4.21861553        0.550596833   
     4.27687693        0.249115899   
