#                                                                     
#  __  __   ________   ___ __ __    _______   ______                  
# /_/\/_/\ /_______/\ /__//_//_/\ /_______/\ /_____/\                 
# \ \ \ \ \\::: _  \ \\::\| \| \ \\::: _  \ \\:::_ \ \                
#  \:\_\ \ \\::(_)  \ \\:.      \ \\::(_)  \/_\:\ \ \ \               
#   \::::_\/ \:: __  \ \\:.\-/\  \ \\::  _  \ \\:\ \ \ \              
#     \::\ \  \:.\ \  \ \\. \  \  \ \\::(_)  \ \\:\_\ \ \             
#      \__\/   \__\/\__\/ \__\/ \__\/ \_______\/ \_____\/             
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   773 [used]
# X G`s                                           :   773 [disk]
# X bands                                         :    1  120
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  120
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : no
# Sx RL components                                :  27811
#                                                 
# QP @ state[ 1 ] K range                         :    1   32
# QP @ state[ 1 ] b range                         :   30   36
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    0.740467072        0.779660881   
    0.741381884        0.766764164   
    0.742292583        0.778340638   
    0.748726308        0.777942061   
    0.748765647        0.765820205   
    0.752022088        0.768151343   
    0.758895814        0.765137792   
    0.792625368        0.745934188   
    0.793890476        0.745617926   
    0.796832621        0.744943202   
    0.803746879        0.743283987   
    0.809181571        0.741961718   
    0.814945459        0.741769075   
    0.920985699        0.721378684   
    0.920985699        0.721328378   
    0.932608426        0.719380438   
    0.932608426        0.719255567   
    0.933180988        0.720103800   
    0.933180988        0.720277369   
    0.952704906        0.714852870   
    0.952704906        0.714797676   
     2.39172983        0.306631804   
     2.42651200        0.315590888   
     2.52042794        0.337209940   
     2.59500241        0.354136348   
     2.84259081        0.419913113   
     2.92433095        0.444843709   
     2.99099612        0.361937791   
     3.01185250        0.362827420   
     3.01495123        0.372305155   
     3.03600693        0.481824011   
     3.06575060        0.373289257   
     3.07453489        0.390617073   
     3.08250594        0.497641027   
     3.10989785        0.391117036   
     3.20778513        0.376440257   
     3.22180653        0.381649882   
     3.25854874        0.354172826   
     3.26059985        0.392790884   
     3.30020380        0.408618033   
     3.33623672        0.448855132   
     3.33928490        0.367890269   
     3.35197496        0.422095805   
     3.35238862        0.441387802   
     3.38741732        0.438229918   
     3.40398431        0.483337671   
     3.41772199        0.464988023   
     3.46383595        0.500177681   
     3.46715355        0.490017980   
     3.55499053        0.406908095   
     3.57964039        0.442439616   
     3.58012295        0.442496389   
     3.63480616        0.502146721   
     3.68623018        0.530315518   
     3.70974565        0.523030639   
     3.77378964        0.449929655   
     3.78036261        0.563101113   
     3.79075909        0.553310335   
     3.81025863        0.497111052   
     3.81052709        0.496611893   
     3.82017851        0.570778489   
     3.94980097        0.485553205   
     4.01468754        0.557650626   
     4.02419853        0.559108734   
     4.04547501        0.561014056   
     4.05649948        0.561778426   
     4.13673592        0.522293031   
     4.15505648        0.532117069   
     4.16054106        0.531386793   
     4.17145348        0.531664133   
     4.19427538        0.545311809   
     4.20267153        0.547743082   
     4.21852970        0.550603330   
     4.27682495        0.249078184   
     4.28171968        0.251271427   
     4.30195522        0.636529684   
     4.31044722        0.634019732   
     4.32454252        0.630046844   
     4.33127308        0.628120840   
     4.43062973        0.604821444   
     4.43171644        0.604111433   
     4.43409300        0.586061060   
     4.43589115        0.589069724   
     4.43746614        0.576028645   
     4.43807077        0.578448534   
