#                                                                     
#   __   __     _        __  __       ____      U  ___  u             
#   \ \ / / U  /"\  U u |" \/ "| u U | __") u    \/"_ \/              
#    \ V /   \/ _ \/   \| |\/| |/   \|  _ \/     | | | |              
#   U_|"|_u  / ___ \    | |  | |     | |_) | .-,_| |_| |              
#     |_|   /_/   \_\   |_|  |_|     |____/   \_)-\___/               
# .-,//|(_   \\    >>  <<,-,,-.     _|| \\_        \\                 
#  \_) (__) (__)  (__)  (./  \.)   (__) (__)      (__)                
#                                                                     
#                                                                     
# Version 5.3.0 Revision 23935 Hash (prev commit) 901c81cc91          
#                      Branch is 5.3                                  
#         MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                      
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   1  20
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : yes
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
     1.79572630       -0.327458531E-1     -5.85369539   
     1.96406829       -0.494265370E-1     -13.8848963   
     2.32293463       -0.239266362E-1     -56.6161385   
     2.33345318       -0.277357269E-1     -61.1435242   
     2.36598611       -0.383214206E-1     -67.9798508   
     2.39454985       -0.781990774E-2     -37.1268120   
     2.40016651       -0.158685073E-1     -70.0234985   
     2.59149623       -0.129555305E-1     -55.3242035   
     2.67736173       -0.351686031E-1     -77.4331970   
     2.75322771       -0.242333822E-1     -84.1187515   
     2.75594807       -0.244156457E-1     -73.2253571   
     2.88888359       -0.322803599E-2     -107.802505   
     2.88888693       -0.322803599E-2     -107.802505   
     2.90439224        0.150259174E-1     -37.4932289   
     2.94872594        0.141873825E-1     -42.5930939   
     3.06050014        0.165689755E-1     -58.8798828   
     3.16536784        0.177495349E-1     -47.7784767   
     3.16536975        0.177495349E-1     -47.7784767   
     3.41290903       -0.276173255E-2     -52.0822792   
     3.50107574        0.265184703E-3     -54.3695145   
     3.50779438        0.150190247E-2     -60.1992760   
     3.70942569        0.277215336E-1     -22.8447533   
     3.94920421        0.291755907E-1     -58.1372032   
     4.25771236       -0.795878563E-2     -23.3471603   
     4.34628010       -0.116255516E-1     -35.7953300   
     4.47312880        0.143856630E-1     -54.4822998   
     4.59410858        0.551304445E-1     -64.6671753   
     5.11811256        0.309653841E-1     -7.48856640   
     5.63041782       -0.986941275E-3    -0.174698010   
     5.81004572        0.452111562E-3    -0.541546345   
     6.17294407        0.150068598E-1     -2.33805776   
     6.25027752       -0.216608075E-2    -0.897344232   
     6.34753036       -0.223014667E-4     -1.00412416   
     6.42452192        0.150506515E-1     -9.13218880   
     7.06762838        0.453652395E-2     -14.9614573   
     7.22135925       -0.420889497E-3     -4.22960186   
     7.29727125        0.354228402E-2     -8.61306286   
     7.33829117        0.425836351E-2     -5.28506327   
     7.38357449        0.439541647E-3     -3.84036517   
     7.55830765        0.118359970E-1     -4.62596798   
     7.59045744        0.124069145E-1     -8.92052937   
     7.82734299        0.406129984E-2     -5.98986244   
     7.93422031        0.244261883E-2     -14.0343447   
     7.93721437       -0.632956158E-2     -15.8327074   
     8.30819702       -0.220581787E-3     -38.6754341   
     8.70658684        0.156329237E-1     -12.7244825   
     8.71553516        0.197396372E-1     -20.0489826   
     9.02113342        0.390518978E-1     -30.1340199   
     9.61514568        0.135219879E-1    -0.558073997   
# 
# 02/27/2026 at 14:43 yambo @ ln02 [start]
# 02/27/2026 at 14:44              [end]
#  
# Timing   [Min/Max/Average]: 38s/38s/38s
#
# .-Input file  yambo.in
# | infver                           # [R] Input file variables verbosity
# | optics                           # [R] Linear Response optical properties
# | dipoles                          # [R] Oscillator strenghts (or dipoles)
# | chi                              # [R][CHI] Dyson equation for Chi.
# | #DegFix                        # Force the code to impose the energy levels to respect their degeneracy
# | FFTGvecs= 18309            RL    # [FFT] Plane-waves
# | DIP_Threads= 256                 # [OPENMP/X] Number of threads for dipoles
# | X_Threads= 256                   # [OPENMP/X] Number of threads for response functions
# | Chimod= "IP"                     # [X] IP/Hartree/ALDA/LRC/PF/BSfxc
# | % DipBands
# |   1 | 20 |                           # [DIP] Bands range for dipoles
# | %
# | DipComputed= "R V P [G-space]"   # [DIP] [default R P V; extra P2 Spin Orb]
# | % QpntsRXd
# |  1 | 1 |                             # [Xd] Transferred momenta
# | %
# | % BndsRnXd
# |   1 | 20 |                           # [Xd] Polarization function bands
# | %
# | % EnRngeXd
# |  1.000000 | 4.000000 |         eV    # [Xd] Energy range
# | %
# | % DmRngeXd
# |  0.200000 | 0.200000 |         eV    # [Xd] Damping range
# | %
# | ETStpsXd= 12                     # [Xd] Total Energy steps
# | % LongDrXd
# |  1.000000 | 1.000000 | 0.000000 |        # [Xd] [cc] Electric Field
# | %
# | XfnQPdb= "E W < SAVE/ndb.QP"     # [EXTQP Xd] Database action
